ca_global,codeunivers,annee
-910803.8300005499,COUPON,2016
2583029.9199985885,U0,2016
3408238.509998595,U0,2017
79659609.52974601,U1,2016
80623381.2099137,U1,2017
28171320.690027542,U2,2016
26955890.250033755,U2,2017
38541137.24999708,U3,2016
34435129.080016576,U3,2017
22240438.170014746,U4,2016
23221609.460016344,U4,2017
